challenge_id,intent_kind,status,reason,selected_ids,expected_contract_agrees,evaluation_mode
extension-023,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-024,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-025,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-026,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-027,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-028,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-029,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-030,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-031,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-032,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-033,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-034,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-035,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-036,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-037,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-038,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-039,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-040,missing_external_data,unsupported,required_data_unavailable,,True,oracle_intent_contract_only_not_language_accuracy
extension-041,explicit_geometric_objective,success,geometric_ranking_only,candidate:2,True,oracle_intent_contract_only_not_language_accuracy
extension-042,explicit_geometric_objective,success,geometric_ranking_only,candidate:3,True,oracle_intent_contract_only_not_language_accuracy
extension-043,explicit_geometric_objective,success,geometric_ranking_only,candidate:5|candidate:10|candidate:3,True,oracle_intent_contract_only_not_language_accuracy
extension-044,explicit_geometric_objective,success,geometric_ranking_only,candidate:1,True,oracle_intent_contract_only_not_language_accuracy
extension-045,explicit_geometric_objective,not_found,no_candidate_satisfies_constraints,,True,oracle_intent_contract_only_not_language_accuracy
extension-046,explicit_geometric_objective,success,geometric_ranking_only,candidate:4,True,oracle_intent_contract_only_not_language_accuracy
extension-047,explicit_geometric_objective,success,geometric_ranking_only,candidate:9|candidate:11|candidate:2,True,oracle_intent_contract_only_not_language_accuracy
extension-048,explicit_geometric_objective,success,geometric_ranking_only,candidate:1,True,oracle_intent_contract_only_not_language_accuracy
extension-049,explicit_geometric_objective,success,geometric_ranking_only,candidate:3,True,oracle_intent_contract_only_not_language_accuracy
extension-050,explicit_geometric_objective,not_found,no_candidate_satisfies_constraints,,True,oracle_intent_contract_only_not_language_accuracy
extension-051,explicit_geometric_objective,success,geometric_ranking_only,candidate:2,True,oracle_intent_contract_only_not_language_accuracy
extension-052,explicit_geometric_objective,success,geometric_ranking_only,candidate:4,True,oracle_intent_contract_only_not_language_accuracy
extension-053,explicit_geometric_objective,success,geometric_ranking_only,candidate:3|candidate:2|candidate:5,True,oracle_intent_contract_only_not_language_accuracy
extension-054,explicit_geometric_objective,success,geometric_ranking_only,candidate:4,True,oracle_intent_contract_only_not_language_accuracy
extension-055,explicit_geometric_objective,not_found,no_candidate_satisfies_constraints,,True,oracle_intent_contract_only_not_language_accuracy
extension-056,explicit_geometric_objective,success,geometric_ranking_only,candidate:1,True,oracle_intent_contract_only_not_language_accuracy
extension-057,explicit_geometric_objective,success,geometric_ranking_only,candidate:3|candidate:4|candidate:8,True,oracle_intent_contract_only_not_language_accuracy
extension-058,explicit_geometric_objective,success,geometric_ranking_only,candidate:5,True,oracle_intent_contract_only_not_language_accuracy
extension-059,explicit_geometric_objective,success,geometric_ranking_only,candidate:5,True,oracle_intent_contract_only_not_language_accuracy
extension-060,explicit_geometric_objective,not_found,no_candidate_satisfies_constraints,,True,oracle_intent_contract_only_not_language_accuracy
extension-061,explicit_geometric_objective,success,geometric_ranking_only,candidate:8,True,oracle_intent_contract_only_not_language_accuracy
extension-062,explicit_geometric_objective,success,geometric_ranking_only,candidate:1,True,oracle_intent_contract_only_not_language_accuracy
extension-063,explicit_geometric_objective,success,geometric_ranking_only,candidate:1|candidate:3|candidate:9,True,oracle_intent_contract_only_not_language_accuracy
extension-064,explicit_geometric_objective,not_found,no_candidate_satisfies_constraints,,True,oracle_intent_contract_only_not_language_accuracy
extension-065,explicit_geometric_objective,success,geometric_ranking_only,candidate:4,True,oracle_intent_contract_only_not_language_accuracy
extension-066,explicit_geometric_objective,success,geometric_ranking_only,candidate:3,True,oracle_intent_contract_only_not_language_accuracy
extension-067,explicit_geometric_objective,success,geometric_ranking_only,candidate:8|candidate:3|candidate:5,True,oracle_intent_contract_only_not_language_accuracy
extension-068,explicit_geometric_objective,success,geometric_ranking_only,candidate:2,True,oracle_intent_contract_only_not_language_accuracy
extension-069,explicit_geometric_objective,not_found,no_candidate_satisfies_constraints,,True,oracle_intent_contract_only_not_language_accuracy
extension-070,explicit_geometric_objective,not_found,no_candidate_satisfies_constraints,,True,oracle_intent_contract_only_not_language_accuracy
extension-071,explicit_geometric_objective,success,geometric_ranking_only,candidate:3,True,oracle_intent_contract_only_not_language_accuracy
extension-072,explicit_geometric_objective,success,geometric_ranking_only,candidate:9,True,oracle_intent_contract_only_not_language_accuracy
extension-073,explicit_geometric_objective,success,geometric_ranking_only,candidate:7|candidate:8|candidate:2,True,oracle_intent_contract_only_not_language_accuracy
extension-074,explicit_geometric_objective,success,geometric_ranking_only,candidate:8,True,oracle_intent_contract_only_not_language_accuracy
extension-075,explicit_geometric_objective,not_found,no_candidate_satisfies_constraints,,True,oracle_intent_contract_only_not_language_accuracy
extension-076,explicit_geometric_objective,success,geometric_ranking_only,candidate:7,True,oracle_intent_contract_only_not_language_accuracy
extension-077,explicit_geometric_objective,success,geometric_ranking_only,candidate:5|candidate:3|candidate:1,True,oracle_intent_contract_only_not_language_accuracy
extension-078,explicit_geometric_objective,success,geometric_ranking_only,candidate:8,True,oracle_intent_contract_only_not_language_accuracy
extension-079,explicit_geometric_objective,success,geometric_ranking_only,candidate:5,True,oracle_intent_contract_only_not_language_accuracy
extension-080,explicit_geometric_objective,success,geometric_ranking_only,candidate:2,True,oracle_intent_contract_only_not_language_accuracy
