field,split,task_type,state,count
anchor_longitude,validation,nearest_of_two_categories,nonnull,205
anchor_longitude,validation,spatial_multi_constraint,nonnull,191
anchor_longitude,validation,two_hop_nearest,nonnull,210
anchor_longitude,validation,within_radius_yes_no,nonnull,280
anchor_place,test,cardinal_direction,nonnull,397
anchor_place,test,closer_of_two,nonnull,264
anchor_place,test,count_within_radius,nonnull,89
anchor_place,test,nearest_category,nonnull,759
anchor_place,test,nearest_of_two_categories,nonnull,186
anchor_place,test,spatial_multi_constraint,nonnull,173
anchor_place,test,two_hop_nearest,nonnull,188
anchor_place,test,within_radius_yes_no,nonnull,276
anchor_place,train,cardinal_direction,nonnull,3267
anchor_place,train,closer_of_two,nonnull,2167
anchor_place,train,count_within_radius,nonnull,701
anchor_place,train,nearest_category,nonnull,6588
anchor_place,train,nearest_of_two_categories,nonnull,1591
anchor_place,train,spatial_multi_constraint,nonnull,1478
anchor_place,train,two_hop_nearest,nonnull,1603
anchor_place,train,within_radius_yes_no,nonnull,2202
anchor_place,validation,cardinal_direction,nonnull,409
anchor_place,validation,closer_of_two,nonnull,283
anchor_place,validation,count_within_radius,nonnull,97
anchor_place,validation,nearest_category,nonnull,827
anchor_place,validation,nearest_of_two_categories,nonnull,205
anchor_place,validation,spatial_multi_constraint,nonnull,191
anchor_place,validation,two_hop_nearest,nonnull,210
anchor_place,validation,within_radius_yes_no,nonnull,280
answer,test,cardinal_direction,nonnull,397
answer,test,closer_of_two,nonnull,264
answer,test,count_within_radius,nonnull,89
answer,test,nearest_category,nonnull,759
answer,test,nearest_of_two_categories,nonnull,186
answer,test,spatial_multi_constraint,nonnull,173
answer,test,two_hop_nearest,nonnull,188
answer,test,within_radius_yes_no,nonnull,276
answer,train,cardinal_direction,nonnull,3267
answer,train,closer_of_two,nonnull,2167
answer,train,count_within_radius,nonnull,701
answer,train,nearest_category,nonnull,6588
answer,train,nearest_of_two_categories,nonnull,1591
answer,train,spatial_multi_constraint,nonnull,1478
answer,train,two_hop_nearest,nonnull,1603
answer,train,within_radius_yes_no,nonnull,2202
answer,validation,cardinal_direction,nonnull,409
answer,validation,closer_of_two,nonnull,283
answer,validation,count_within_radius,nonnull,97
answer,validation,nearest_category,nonnull,827
answer,validation,nearest_of_two_categories,nonnull,205
answer,validation,spatial_multi_constraint,nonnull,191
answer,validation,two_hop_nearest,nonnull,210
answer,validation,within_radius_yes_no,nonnull,280
answer_position,test,cardinal_direction,null,397
answer_position,test,closer_of_two,nonnull,264
answer_position,test,count_within_radius,null,89
answer_position,test,nearest_category,null,759
answer_position,test,nearest_of_two_categories,null,186
answer_position,test,spatial_multi_constraint,null,173
answer_position,test,two_hop_nearest,null,188
answer_position,test,within_radius_yes_no,null,276
answer_position,train,cardinal_direction,null,3267
answer_position,train,closer_of_two,nonnull,2167
answer_position,train,count_within_radius,null,701
answer_position,train,nearest_category,null,6588
answer_position,train,nearest_of_two_categories,null,1591
answer_position,train,spatial_multi_constraint,null,1478
answer_position,train,two_hop_nearest,null,1603
answer_position,train,within_radius_yes_no,null,2202
answer_position,validation,cardinal_direction,null,409
answer_position,validation,closer_of_two,nonnull,283
answer_position,validation,count_within_radius,null,97
answer_position,validation,nearest_category,null,827
answer_position,validation,nearest_of_two_categories,null,205
answer_position,validation,spatial_multi_constraint,null,191
answer_position,validation,two_hop_nearest,null,210
answer_position,validation,within_radius_yes_no,null,280
article_chars,test,cardinal_direction,nonnull,397
article_chars,test,closer_of_two,nonnull,264
article_chars,test,count_within_radius,nonnull,89
article_chars,test,nearest_category,nonnull,759
article_chars,test,nearest_of_two_categories,nonnull,186
article_chars,test,spatial_multi_constraint,nonnull,173
article_chars,test,two_hop_nearest,nonnull,188
article_chars,test,within_radius_yes_no,nonnull,276
article_chars,train,cardinal_direction,nonnull,3267
article_chars,train,closer_of_two,nonnull,2167
article_chars,train,count_within_radius,nonnull,701
article_chars,train,nearest_category,nonnull,6588
article_chars,train,nearest_of_two_categories,nonnull,1591
article_chars,train,spatial_multi_constraint,nonnull,1478
article_chars,train,two_hop_nearest,nonnull,1603
article_chars,train,within_radius_yes_no,nonnull,2202
article_chars,validation,cardinal_direction,nonnull,409
article_chars,validation,closer_of_two,nonnull,283
article_chars,validation,count_within_radius,nonnull,97
article_chars,validation,nearest_category,nonnull,827
article_chars,validation,nearest_of_two_categories,nonnull,205
article_chars,validation,spatial_multi_constraint,nonnull,191
article_chars,validation,two_hop_nearest,nonnull,210
article_chars,validation,within_radius_yes_no,nonnull,280
context,test,cardinal_direction,nonnull,397
context,test,closer_of_two,nonnull,264
context,test,count_within_radius,nonnull,89
context,test,nearest_category,nonnull,759
context,test,nearest_of_two_categories,nonnull,186
context,test,spatial_multi_constraint,nonnull,173
context,test,two_hop_nearest,nonnull,188
context,test,within_radius_yes_no,nonnull,276
context,train,cardinal_direction,nonnull,3267
context,train,closer_of_two,nonnull,2167
context,train,count_within_radius,nonnull,701
context,train,nearest_category,nonnull,6588
context,train,nearest_of_two_categories,nonnull,1591
context,train,spatial_multi_constraint,nonnull,1478
context,train,two_hop_nearest,nonnull,1603
context,train,within_radius_yes_no,nonnull,2202
context,validation,cardinal_direction,nonnull,409
context,validation,closer_of_two,nonnull,283
context,validation,count_within_radius,nonnull,97
context,validation,nearest_category,nonnull,827
context,validation,nearest_of_two_categories,nonnull,205
context,validation,spatial_multi_constraint,nonnull,191
context,validation,two_hop_nearest,nonnull,210
context,validation,within_radius_yes_no,nonnull,280
context_chars,test,cardinal_direction,nonnull,397
context_chars,test,closer_of_two,nonnull,264
context_chars,test,count_within_radius,nonnull,89
context_chars,test,nearest_category,nonnull,759
context_chars,test,nearest_of_two_categories,nonnull,186
context_chars,test,spatial_multi_constraint,nonnull,173
context_chars,test,two_hop_nearest,nonnull,188
context_chars,test,within_radius_yes_no,nonnull,276
context_chars,train,cardinal_direction,nonnull,3267
context_chars,train,closer_of_two,nonnull,2167
context_chars,train,count_within_radius,nonnull,701
context_chars,train,nearest_category,nonnull,6588
context_chars,train,nearest_of_two_categories,nonnull,1591
context_chars,train,spatial_multi_constraint,nonnull,1478
context_chars,train,two_hop_nearest,nonnull,1603
context_chars,train,within_radius_yes_no,nonnull,2202
context_chars,validation,cardinal_direction,nonnull,409
context_chars,validation,closer_of_two,nonnull,283
context_chars,validation,count_within_radius,nonnull,97
context_chars,validation,nearest_category,nonnull,827
context_chars,validation,nearest_of_two_categories,nonnull,205
context_chars,validation,spatial_multi_constraint,nonnull,191
context_chars,validation,two_hop_nearest,nonnull,210
context_chars,validation,within_radius_yes_no,nonnull,280
context_length_bin_chars,test,cardinal_direction,nonnull,397
context_length_bin_chars,test,closer_of_two,nonnull,264
context_length_bin_chars,test,count_within_radius,nonnull,89
context_length_bin_chars,test,nearest_category,nonnull,759
context_length_bin_chars,test,nearest_of_two_categories,nonnull,186
context_length_bin_chars,test,spatial_multi_constraint,nonnull,173
context_length_bin_chars,test,two_hop_nearest,nonnull,188
context_length_bin_chars,test,within_radius_yes_no,nonnull,276
context_length_bin_chars,train,cardinal_direction,nonnull,3267
context_length_bin_chars,train,closer_of_two,nonnull,2167
context_length_bin_chars,train,count_within_radius,nonnull,701
context_length_bin_chars,train,nearest_category,nonnull,6588
context_length_bin_chars,train,nearest_of_two_categories,nonnull,1591
context_length_bin_chars,train,spatial_multi_constraint,nonnull,1478
context_length_bin_chars,train,two_hop_nearest,nonnull,1603
context_length_bin_chars,train,within_radius_yes_no,nonnull,2202
context_length_bin_chars,validation,cardinal_direction,nonnull,409
context_length_bin_chars,validation,closer_of_two,nonnull,283
context_length_bin_chars,validation,count_within_radius,nonnull,97
context_length_bin_chars,validation,nearest_category,nonnull,827
context_length_bin_chars,validation,nearest_of_two_categories,nonnull,205
context_length_bin_chars,validation,spatial_multi_constraint,nonnull,191
context_length_bin_chars,validation,two_hop_nearest,nonnull,210
context_length_bin_chars,validation,within_radius_yes_no,nonnull,280
country,test,cardinal_direction,nonnull,397
country,test,closer_of_two,nonnull,264
country,test,count_within_radius,nonnull,89
country,test,nearest_category,nonnull,759
country,test,nearest_of_two_categories,nonnull,186
country,test,spatial_multi_constraint,nonnull,173
country,test,two_hop_nearest,nonnull,188
country,test,within_radius_yes_no,nonnull,276
country,train,cardinal_direction,nonnull,3267
country,train,closer_of_two,nonnull,2167
country,train,count_within_radius,nonnull,701
country,train,nearest_category,nonnull,6588
country,train,nearest_of_two_categories,nonnull,1591
country,train,spatial_multi_constraint,nonnull,1478
country,train,two_hop_nearest,nonnull,1603
country,train,within_radius_yes_no,nonnull,2202
country,validation,cardinal_direction,nonnull,409
country,validation,closer_of_two,nonnull,283
country,validation,count_within_radius,nonnull,97
country,validation,nearest_category,nonnull,827
country,validation,nearest_of_two_categories,nonnull,205
country,validation,spatial_multi_constraint,nonnull,191
country,validation,two_hop_nearest,nonnull,210
country,validation,within_radius_yes_no,nonnull,280
difficulty,test,cardinal_direction,nonnull,397
difficulty,test,closer_of_two,nonnull,264
difficulty,test,count_within_radius,nonnull,89
difficulty,test,nearest_category,nonnull,759
difficulty,test,nearest_of_two_categories,nonnull,186
difficulty,test,spatial_multi_constraint,nonnull,173
difficulty,test,two_hop_nearest,nonnull,188
difficulty,test,within_radius_yes_no,nonnull,276
difficulty,train,cardinal_direction,nonnull,3267
difficulty,train,closer_of_two,nonnull,2167
difficulty,train,count_within_radius,nonnull,701
difficulty,train,nearest_category,nonnull,6588
difficulty,train,nearest_of_two_categories,nonnull,1591
difficulty,train,spatial_multi_constraint,nonnull,1478
difficulty,train,two_hop_nearest,nonnull,1603
difficulty,train,within_radius_yes_no,nonnull,2202
difficulty,validation,cardinal_direction,nonnull,409
difficulty,validation,closer_of_two,nonnull,283
difficulty,validation,count_within_radius,nonnull,97
difficulty,validation,nearest_category,nonnull,827
difficulty,validation,nearest_of_two_categories,nonnull,205
difficulty,validation,spatial_multi_constraint,nonnull,191
difficulty,validation,two_hop_nearest,nonnull,210
difficulty,validation,within_radius_yes_no,nonnull,280
difficulty_score,test,cardinal_direction,nonnull,397
difficulty_score,test,closer_of_two,nonnull,264
difficulty_score,test,count_within_radius,nonnull,89
difficulty_score,test,nearest_category,nonnull,759
difficulty_score,test,nearest_of_two_categories,nonnull,186
difficulty_score,test,spatial_multi_constraint,nonnull,173
difficulty_score,test,two_hop_nearest,nonnull,188
difficulty_score,test,within_radius_yes_no,nonnull,276
difficulty_score,train,cardinal_direction,nonnull,3267
difficulty_score,train,closer_of_two,nonnull,2167
difficulty_score,train,count_within_radius,nonnull,701
difficulty_score,train,nearest_category,nonnull,6588
difficulty_score,train,nearest_of_two_categories,nonnull,1591
difficulty_score,train,spatial_multi_constraint,nonnull,1478
difficulty_score,train,two_hop_nearest,nonnull,1603
difficulty_score,train,within_radius_yes_no,nonnull,2202
difficulty_score,validation,cardinal_direction,nonnull,409
difficulty_score,validation,closer_of_two,nonnull,283
difficulty_score,validation,count_within_radius,nonnull,97
difficulty_score,validation,nearest_category,nonnull,827
difficulty_score,validation,nearest_of_two_categories,nonnull,205
difficulty_score,validation,spatial_multi_constraint,nonnull,191
difficulty_score,validation,two_hop_nearest,nonnull,210
difficulty_score,validation,within_radius_yes_no,nonnull,280
direction_constraint,test,cardinal_direction,null,397
direction_constraint,test,closer_of_two,null,264
direction_constraint,test,count_within_radius,null,89
direction_constraint,test,nearest_category,null,759
direction_constraint,test,nearest_of_two_categories,null,186
direction_constraint,test,spatial_multi_constraint,nonnull,173
direction_constraint,test,two_hop_nearest,null,188
direction_constraint,test,within_radius_yes_no,null,276
direction_constraint,train,cardinal_direction,null,3267
direction_constraint,train,closer_of_two,null,2167
direction_constraint,train,count_within_radius,null,701
direction_constraint,train,nearest_category,null,6588
direction_constraint,train,nearest_of_two_categories,null,1591
direction_constraint,train,spatial_multi_constraint,nonnull,1478
direction_constraint,train,two_hop_nearest,null,1603
direction_constraint,train,within_radius_yes_no,null,2202
direction_constraint,validation,cardinal_direction,null,409
direction_constraint,validation,closer_of_two,null,283
direction_constraint,validation,count_within_radius,null,97
direction_constraint,validation,nearest_category,null,827
direction_constraint,validation,nearest_of_two_categories,null,205
direction_constraint,validation,spatial_multi_constraint,nonnull,191
direction_constraint,validation,two_hop_nearest,null,210
direction_constraint,validation,within_radius_yes_no,null,280
evidence_poi_ids,test,cardinal_direction,nonnull,397
evidence_poi_ids,test,closer_of_two,nonnull,264
evidence_poi_ids,test,count_within_radius,nonnull,89
evidence_poi_ids,test,nearest_category,nonnull,759
evidence_poi_ids,test,nearest_of_two_categories,nonnull,186
evidence_poi_ids,test,spatial_multi_constraint,nonnull,173
evidence_poi_ids,test,two_hop_nearest,nonnull,188
evidence_poi_ids,test,within_radius_yes_no,nonnull,276
evidence_poi_ids,train,cardinal_direction,nonnull,3267
evidence_poi_ids,train,closer_of_two,nonnull,2167
evidence_poi_ids,train,count_within_radius,nonnull,701
evidence_poi_ids,train,nearest_category,nonnull,6588
evidence_poi_ids,train,nearest_of_two_categories,nonnull,1591
evidence_poi_ids,train,spatial_multi_constraint,nonnull,1478
evidence_poi_ids,train,two_hop_nearest,nonnull,1603
evidence_poi_ids,train,within_radius_yes_no,nonnull,2202
evidence_poi_ids,validation,cardinal_direction,nonnull,409
evidence_poi_ids,validation,closer_of_two,nonnull,283
evidence_poi_ids,validation,count_within_radius,nonnull,97
evidence_poi_ids,validation,nearest_category,nonnull,827
evidence_poi_ids,validation,nearest_of_two_categories,nonnull,205
evidence_poi_ids,validation,spatial_multi_constraint,nonnull,191
evidence_poi_ids,validation,two_hop_nearest,nonnull,210
evidence_poi_ids,validation,within_radius_yes_no,nonnull,280
first_hop_category,test,cardinal_direction,null,397
first_hop_category,test,closer_of_two,null,264
first_hop_category,test,count_within_radius,null,89
first_hop_category,test,nearest_category,null,759
first_hop_category,test,nearest_of_two_categories,null,186
first_hop_category,test,spatial_multi_constraint,null,173
first_hop_category,test,two_hop_nearest,nonnull,188
first_hop_category,test,within_radius_yes_no,null,276
first_hop_category,train,cardinal_direction,null,3267
first_hop_category,train,closer_of_two,null,2167
first_hop_category,train,count_within_radius,null,701
first_hop_category,train,nearest_category,null,6588
first_hop_category,train,nearest_of_two_categories,null,1591
first_hop_category,train,spatial_multi_constraint,null,1478
first_hop_category,train,two_hop_nearest,nonnull,1603
first_hop_category,train,within_radius_yes_no,null,2202
first_hop_category,validation,cardinal_direction,null,409
first_hop_category,validation,closer_of_two,null,283
first_hop_category,validation,count_within_radius,null,97
first_hop_category,validation,nearest_category,null,827
first_hop_category,validation,nearest_of_two_categories,null,205
first_hop_category,validation,spatial_multi_constraint,null,191
first_hop_category,validation,two_hop_nearest,nonnull,210
first_hop_category,validation,within_radius_yes_no,null,280
id,test,cardinal_direction,nonnull,397
id,test,closer_of_two,nonnull,264
id,test,count_within_radius,nonnull,89
id,test,nearest_category,nonnull,759
id,test,nearest_of_two_categories,nonnull,186
id,test,spatial_multi_constraint,nonnull,173
id,test,two_hop_nearest,nonnull,188
id,test,within_radius_yes_no,nonnull,276
id,train,cardinal_direction,nonnull,3267
id,train,closer_of_two,nonnull,2167
id,train,count_within_radius,nonnull,701
id,train,nearest_category,nonnull,6588
id,train,nearest_of_two_categories,nonnull,1591
id,train,spatial_multi_constraint,nonnull,1478
id,train,two_hop_nearest,nonnull,1603
id,train,within_radius_yes_no,nonnull,2202
id,validation,cardinal_direction,nonnull,409
id,validation,closer_of_two,nonnull,283
id,validation,count_within_radius,nonnull,97
id,validation,nearest_category,nonnull,827
id,validation,nearest_of_two_categories,nonnull,205
id,validation,spatial_multi_constraint,nonnull,191
id,validation,two_hop_nearest,nonnull,210
id,validation,within_radius_yes_no,nonnull,280
intermediate_answer,test,cardinal_direction,null,397
intermediate_answer,test,closer_of_two,null,264
intermediate_answer,test,count_within_radius,null,89
intermediate_answer,test,nearest_category,null,759
intermediate_answer,test,nearest_of_two_categories,null,186
intermediate_answer,test,spatial_multi_constraint,null,173
intermediate_answer,test,two_hop_nearest,nonnull,188
intermediate_answer,test,within_radius_yes_no,null,276
intermediate_answer,train,cardinal_direction,null,3267
intermediate_answer,train,closer_of_two,null,2167
intermediate_answer,train,count_within_radius,null,701
intermediate_answer,train,nearest_category,null,6588
intermediate_answer,train,nearest_of_two_categories,null,1591
intermediate_answer,train,spatial_multi_constraint,null,1478
intermediate_answer,train,two_hop_nearest,nonnull,1603
intermediate_answer,train,within_radius_yes_no,null,2202
intermediate_answer,validation,cardinal_direction,null,409
intermediate_answer,validation,closer_of_two,null,283
intermediate_answer,validation,count_within_radius,null,97
intermediate_answer,validation,nearest_category,null,827
intermediate_answer,validation,nearest_of_two_categories,null,205
intermediate_answer,validation,spatial_multi_constraint,null,191
intermediate_answer,validation,two_hop_nearest,nonnull,210
intermediate_answer,validation,within_radius_yes_no,null,280
language,test,cardinal_direction,nonnull,397
language,test,closer_of_two,nonnull,264
language,test,count_within_radius,nonnull,89
language,test,nearest_category,nonnull,759
language,test,nearest_of_two_categories,nonnull,186
language,test,spatial_multi_constraint,nonnull,173
language,test,two_hop_nearest,nonnull,188
language,test,within_radius_yes_no,nonnull,276
language,train,cardinal_direction,nonnull,3267
language,train,closer_of_two,nonnull,2167
language,train,count_within_radius,nonnull,701
language,train,nearest_category,nonnull,6588
language,train,nearest_of_two_categories,nonnull,1591
language,train,spatial_multi_constraint,nonnull,1478
language,train,two_hop_nearest,nonnull,1603
language,train,within_radius_yes_no,nonnull,2202
language,validation,cardinal_direction,nonnull,409
language,validation,closer_of_two,nonnull,283
language,validation,count_within_radius,nonnull,97
language,validation,nearest_category,nonnull,827
language,validation,nearest_of_two_categories,nonnull,205
language,validation,spatial_multi_constraint,nonnull,191
language,validation,two_hop_nearest,nonnull,210
language,validation,within_radius_yes_no,nonnull,280
long_target,test,cardinal_direction,nonnull,397
long_target,test,closer_of_two,nonnull,264
long_target,test,count_within_radius,nonnull,89
long_target,test,nearest_category,nonnull,759
long_target,test,nearest_of_two_categories,nonnull,186
long_target,test,spatial_multi_constraint,nonnull,173
long_target,test,two_hop_nearest,nonnull,188
long_target,test,within_radius_yes_no,nonnull,276
long_target,train,cardinal_direction,nonnull,3267
long_target,train,closer_of_two,nonnull,2167
long_target,train,count_within_radius,nonnull,701
long_target,train,nearest_category,nonnull,6588
long_target,train,nearest_of_two_categories,nonnull,1591
long_target,train,spatial_multi_constraint,nonnull,1478
long_target,train,two_hop_nearest,nonnull,1603
long_target,train,within_radius_yes_no,nonnull,2202
long_target,validation,cardinal_direction,nonnull,409
long_target,validation,closer_of_two,nonnull,283
long_target,validation,count_within_radius,nonnull,97
long_target,validation,nearest_category,nonnull,827
long_target,validation,nearest_of_two_categories,nonnull,205
long_target,validation,spatial_multi_constraint,nonnull,191
long_target,validation,two_hop_nearest,nonnull,210
long_target,validation,within_radius_yes_no,nonnull,280
num_context_pois,test,cardinal_direction,nonnull,397
num_context_pois,test,closer_of_two,nonnull,264
num_context_pois,test,count_within_radius,nonnull,89
num_context_pois,test,nearest_category,nonnull,759
num_context_pois,test,nearest_of_two_categories,nonnull,186
num_context_pois,test,spatial_multi_constraint,nonnull,173
num_context_pois,test,two_hop_nearest,nonnull,188
num_context_pois,test,within_radius_yes_no,nonnull,276
num_context_pois,train,cardinal_direction,nonnull,3267
num_context_pois,train,closer_of_two,nonnull,2167
num_context_pois,train,count_within_radius,nonnull,701
num_context_pois,train,nearest_category,nonnull,6588
num_context_pois,train,nearest_of_two_categories,nonnull,1591
num_context_pois,train,spatial_multi_constraint,nonnull,1478
num_context_pois,train,two_hop_nearest,nonnull,1603
num_context_pois,train,within_radius_yes_no,nonnull,2202
num_context_pois,validation,cardinal_direction,nonnull,409
num_context_pois,validation,closer_of_two,nonnull,283
num_context_pois,validation,count_within_radius,nonnull,97
num_context_pois,validation,nearest_category,nonnull,827
num_context_pois,validation,nearest_of_two_categories,nonnull,205
num_context_pois,validation,spatial_multi_constraint,nonnull,191
num_context_pois,validation,two_hop_nearest,nonnull,210
num_context_pois,validation,within_radius_yes_no,nonnull,280
num_qualifying_pois,test,cardinal_direction,null,397
num_qualifying_pois,test,closer_of_two,null,264
num_qualifying_pois,test,count_within_radius,null,89
num_qualifying_pois,test,nearest_category,null,759
num_qualifying_pois,test,nearest_of_two_categories,null,186
num_qualifying_pois,test,spatial_multi_constraint,nonnull,173
num_qualifying_pois,test,two_hop_nearest,null,188
num_qualifying_pois,test,within_radius_yes_no,null,276
num_qualifying_pois,train,cardinal_direction,null,3267
num_qualifying_pois,train,closer_of_two,null,2167
num_qualifying_pois,train,count_within_radius,null,701
num_qualifying_pois,train,nearest_category,null,6588
num_qualifying_pois,train,nearest_of_two_categories,null,1591
num_qualifying_pois,train,spatial_multi_constraint,nonnull,1478
num_qualifying_pois,train,two_hop_nearest,null,1603
num_qualifying_pois,train,within_radius_yes_no,null,2202
num_qualifying_pois,validation,cardinal_direction,null,409
num_qualifying_pois,validation,closer_of_two,null,283
num_qualifying_pois,validation,count_within_radius,null,97
num_qualifying_pois,validation,nearest_category,null,827
num_qualifying_pois,validation,nearest_of_two_categories,null,205
num_qualifying_pois,validation,spatial_multi_constraint,nonnull,191
num_qualifying_pois,validation,two_hop_nearest,null,210
num_qualifying_pois,validation,within_radius_yes_no,null,280
question,test,cardinal_direction,nonnull,397
question,test,closer_of_two,nonnull,264
question,test,count_within_radius,nonnull,89
question,test,nearest_category,nonnull,759
question,test,nearest_of_two_categories,nonnull,186
question,test,spatial_multi_constraint,nonnull,173
question,test,two_hop_nearest,nonnull,188
question,test,within_radius_yes_no,nonnull,276
question,train,cardinal_direction,nonnull,3267
question,train,closer_of_two,nonnull,2167
question,train,count_within_radius,nonnull,701
question,train,nearest_category,nonnull,6588
question,train,nearest_of_two_categories,nonnull,1591
question,train,spatial_multi_constraint,nonnull,1478
question,train,two_hop_nearest,nonnull,1603
question,train,within_radius_yes_no,nonnull,2202
question,validation,cardinal_direction,nonnull,409
question,validation,closer_of_two,nonnull,283
question,validation,count_within_radius,nonnull,97
question,validation,nearest_category,nonnull,827
question,validation,nearest_of_two_categories,nonnull,205
question,validation,spatial_multi_constraint,nonnull,191
question,validation,two_hop_nearest,nonnull,210
question,validation,within_radius_yes_no,nonnull,280
radius_constraint_km,test,cardinal_direction,null,397
radius_constraint_km,test,closer_of_two,null,264
radius_constraint_km,test,count_within_radius,null,89
radius_constraint_km,test,nearest_category,null,759
radius_constraint_km,test,nearest_of_two_categories,null,186
radius_constraint_km,test,spatial_multi_constraint,nonnull,173
radius_constraint_km,test,two_hop_nearest,null,188
radius_constraint_km,test,within_radius_yes_no,null,276
radius_constraint_km,train,cardinal_direction,null,3267
radius_constraint_km,train,closer_of_two,null,2167
radius_constraint_km,train,count_within_radius,null,701
radius_constraint_km,train,nearest_category,null,6588
radius_constraint_km,train,nearest_of_two_categories,null,1591
radius_constraint_km,train,spatial_multi_constraint,nonnull,1478
radius_constraint_km,train,two_hop_nearest,null,1603
radius_constraint_km,train,within_radius_yes_no,null,2202
radius_constraint_km,validation,cardinal_direction,null,409
radius_constraint_km,validation,closer_of_two,null,283
radius_constraint_km,validation,count_within_radius,null,97
radius_constraint_km,validation,nearest_category,null,827
radius_constraint_km,validation,nearest_of_two_categories,null,205
radius_constraint_km,validation,spatial_multi_constraint,nonnull,191
radius_constraint_km,validation,two_hop_nearest,null,210
radius_constraint_km,validation,within_radius_yes_no,null,280
recommended_reasoning,test,cardinal_direction,nonnull,397
recommended_reasoning,test,closer_of_two,nonnull,264
recommended_reasoning,test,count_within_radius,nonnull,89
recommended_reasoning,test,nearest_category,nonnull,759
recommended_reasoning,test,nearest_of_two_categories,nonnull,186
recommended_reasoning,test,spatial_multi_constraint,nonnull,173
recommended_reasoning,test,two_hop_nearest,nonnull,188
recommended_reasoning,test,within_radius_yes_no,nonnull,276
recommended_reasoning,train,cardinal_direction,nonnull,3267
recommended_reasoning,train,closer_of_two,nonnull,2167
recommended_reasoning,train,count_within_radius,nonnull,701
recommended_reasoning,train,nearest_category,nonnull,6588
recommended_reasoning,train,nearest_of_two_categories,nonnull,1591
recommended_reasoning,train,spatial_multi_constraint,nonnull,1478
recommended_reasoning,train,two_hop_nearest,nonnull,1603
recommended_reasoning,train,within_radius_yes_no,nonnull,2202
recommended_reasoning,validation,cardinal_direction,nonnull,409
recommended_reasoning,validation,closer_of_two,nonnull,283
recommended_reasoning,validation,count_within_radius,nonnull,97
recommended_reasoning,validation,nearest_category,nonnull,827
recommended_reasoning,validation,nearest_of_two_categories,nonnull,205
recommended_reasoning,validation,spatial_multi_constraint,nonnull,191
recommended_reasoning,validation,two_hop_nearest,nonnull,210
recommended_reasoning,validation,within_radius_yes_no,nonnull,280
router_target_alpha,test,cardinal_direction,null,397
router_target_alpha,test,closer_of_two,null,264
router_target_alpha,test,count_within_radius,null,89
router_target_alpha,test,nearest_category,null,759
router_target_alpha,test,nearest_of_two_categories,null,186
router_target_alpha,test,spatial_multi_constraint,null,173
router_target_alpha,test,two_hop_nearest,null,188
router_target_alpha,test,within_radius_yes_no,null,276
router_target_alpha,train,cardinal_direction,null,3267
router_target_alpha,train,closer_of_two,null,2167
router_target_alpha,train,count_within_radius,null,701
router_target_alpha,train,nearest_category,null,6588
router_target_alpha,train,nearest_of_two_categories,null,1591
router_target_alpha,train,spatial_multi_constraint,null,1478
router_target_alpha,train,two_hop_nearest,null,1603
router_target_alpha,train,within_radius_yes_no,null,2202
router_target_alpha,validation,cardinal_direction,null,409
