split,task_type,slot_masked_pattern,count
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب صيدلية أم أقرب عيادة؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب صيدلية أم أقرب محطة وقود؟ اذكر اسم المعلم الأقرب.,6
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب صيدلية أم أقرب مدرسة؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب صيدلية أم أقرب مطعم؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب صيدلية أم أقرب مقهى؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب عيادة أم أقرب بنك؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب عيادة أم أقرب جامعة؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب عيادة أم أقرب كلية؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب عيادة أم أقرب مدرسة؟ اذكر اسم المعلم الأقرب.,3
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب عيادة أم أقرب مستشفى؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب عيادة أم أقرب مطعم؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب كلية أم أقرب محطة وقود؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب كلية أم أقرب مستشفى؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب كلية أم أقرب مقهى؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب بنك؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب جامعة؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب صيدلية؟ اذكر اسم المعلم الأقرب.,5
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب عيادة؟ اذكر اسم المعلم الأقرب.,5
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب كلية؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب مدرسة؟ اذكر اسم المعلم الأقرب.,5
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب مستشفى؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب مطعم؟ اذكر اسم المعلم الأقرب.,3
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب محطة وقود أم أقرب مقهى؟ اذكر اسم المعلم الأقرب.,6
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مدرسة أم أقرب بنك؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مدرسة أم أقرب جامعة؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مدرسة أم أقرب محطة وقود؟ اذكر اسم المعلم الأقرب.,4
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مدرسة أم أقرب مستشفى؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مدرسة أم أقرب مطعم؟ اذكر اسم المعلم الأقرب.,3
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مدرسة أم أقرب مقهى؟ اذكر اسم المعلم الأقرب.,6
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مستشفى أم أقرب بنك؟ اذكر اسم المعلم الأقرب.,4
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مستشفى أم أقرب جامعة؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مستشفى أم أقرب صيدلية؟ اذكر اسم المعلم الأقرب.,5
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مستشفى أم أقرب عيادة؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مستشفى أم أقرب كلية؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مستشفى أم أقرب محطة وقود؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مستشفى أم أقرب مطعم؟ اذكر اسم المعلم الأقرب.,5
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مستشفى أم أقرب مقهى؟ اذكر اسم المعلم الأقرب.,3
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مطعم أم أقرب بنك؟ اذكر اسم المعلم الأقرب.,7
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مطعم أم أقرب جامعة؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مطعم أم أقرب صيدلية؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مطعم أم أقرب عيادة؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مطعم أم أقرب محطة وقود؟ اذكر اسم المعلم الأقرب.,6
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مطعم أم أقرب مدرسة؟ اذكر اسم المعلم الأقرب.,3
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مطعم أم أقرب مستشفى؟ اذكر اسم المعلم الأقرب.,4
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مطعم أم أقرب مقهى؟ اذكر اسم المعلم الأقرب.,3
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب بنك؟ اذكر اسم المعلم الأقرب.,5
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب جامعة؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب صيدلية؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب عيادة؟ اذكر اسم المعلم الأقرب.,2
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب كلية؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب محطة وقود؟ اذكر اسم المعلم الأقرب.,7
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب مدرسة؟ اذكر اسم المعلم الأقرب.,4
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب مستشفى؟ اذكر اسم المعلم الأقرب.,1
test,nearest_of_two_categories,أيهما أقرب إلى <NAME>: أقرب مقهى أم أقرب مطعم؟ اذكر اسم المعلم الأقرب.,5
test,spatial_multi_constraint,ما أقرب بنك يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,6
test,spatial_multi_constraint,ما أقرب بنك يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,2
test,spatial_multi_constraint,ما أقرب بنك يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,3
test,spatial_multi_constraint,ما أقرب بنك يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,1
test,spatial_multi_constraint,ما أقرب جامعة يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,1
test,spatial_multi_constraint,ما أقرب جامعة يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,2
test,spatial_multi_constraint,ما أقرب جامعة يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,1
test,spatial_multi_constraint,ما أقرب جامعة يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,2
test,spatial_multi_constraint,ما أقرب صيدلية يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,6
test,spatial_multi_constraint,ما أقرب صيدلية يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,7
test,spatial_multi_constraint,ما أقرب صيدلية يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,16
test,spatial_multi_constraint,ما أقرب صيدلية يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,2
test,spatial_multi_constraint,ما أقرب عيادة يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,2
test,spatial_multi_constraint,ما أقرب عيادة يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,6
test,spatial_multi_constraint,ما أقرب عيادة يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,5
test,spatial_multi_constraint,ما أقرب عيادة يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,7
test,spatial_multi_constraint,ما أقرب كلية يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,4
test,spatial_multi_constraint,ما أقرب كلية يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,1
test,spatial_multi_constraint,ما أقرب كلية يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,1
test,spatial_multi_constraint,ما أقرب محطة وقود يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,3
test,spatial_multi_constraint,ما أقرب محطة وقود يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,6
test,spatial_multi_constraint,ما أقرب محطة وقود يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,10
test,spatial_multi_constraint,ما أقرب محطة وقود يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,7
test,spatial_multi_constraint,ما أقرب مدرسة يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,4
test,spatial_multi_constraint,ما أقرب مدرسة يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,2
test,spatial_multi_constraint,ما أقرب مدرسة يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,1
test,spatial_multi_constraint,ما أقرب مدرسة يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,1
test,spatial_multi_constraint,ما أقرب مستشفى يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,4
test,spatial_multi_constraint,ما أقرب مستشفى يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,5
test,spatial_multi_constraint,ما أقرب مستشفى يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,3
test,spatial_multi_constraint,ما أقرب مستشفى يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,5
test,spatial_multi_constraint,ما أقرب مطعم يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,5
test,spatial_multi_constraint,ما أقرب مطعم يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,5
test,spatial_multi_constraint,ما أقرب مطعم يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,10
test,spatial_multi_constraint,ما أقرب مطعم يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,5
test,spatial_multi_constraint,ما أقرب مقهى يقع في اتجاه جنوب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,8
test,spatial_multi_constraint,ما أقرب مقهى يقع في اتجاه شرق من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,6
test,spatial_multi_constraint,ما أقرب مقهى يقع في اتجاه شمال من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,4
test,spatial_multi_constraint,ما أقرب مقهى يقع في اتجاه غرب من <NAME> وضمن مسافة <NUM> كم تقريبًا؟,4
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب بنك، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب صيدلية. ما اسم المعلم النهائي؟,3
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب بنك، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب عيادة. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب بنك، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب محطة وقود. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب بنك، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مدرسة. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب بنك، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مستشفى. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب بنك، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مطعم. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب جامعة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب محطة وقود. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب جامعة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مستشفى. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب جامعة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مطعم. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب صيدلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب بنك. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب صيدلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب عيادة. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب صيدلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب كلية. ما اسم المعلم النهائي؟,4
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب صيدلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب محطة وقود. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب صيدلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مستشفى. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب صيدلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مطعم. ما اسم المعلم النهائي؟,7
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب صيدلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مقهى. ما اسم المعلم النهائي؟,4
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب عيادة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب جامعة. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب عيادة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب صيدلية. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب عيادة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب محطة وقود. ما اسم المعلم النهائي؟,3
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب عيادة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مستشفى. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب عيادة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مقهى. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب كلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب بنك. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب كلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب عيادة. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب كلية، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مطعم. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب بنك. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب جامعة. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب صيدلية. ما اسم المعلم النهائي؟,7
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب عيادة. ما اسم المعلم النهائي؟,6
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب كلية. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مدرسة. ما اسم المعلم النهائي؟,3
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مستشفى. ما اسم المعلم النهائي؟,6
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مطعم. ما اسم المعلم النهائي؟,12
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب محطة وقود، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مقهى. ما اسم المعلم النهائي؟,7
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مدرسة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب جامعة. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مدرسة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب صيدلية. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مدرسة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب محطة وقود. ما اسم المعلم النهائي؟,11
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مدرسة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مستشفى. ما اسم المعلم النهائي؟,9
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مدرسة، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مقهى. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مستشفى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب بنك. ما اسم المعلم النهائي؟,4
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مستشفى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب جامعة. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مستشفى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب صيدلية. ما اسم المعلم النهائي؟,8
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مستشفى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب كلية. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مستشفى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب محطة وقود. ما اسم المعلم النهائي؟,3
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مستشفى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مدرسة. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مستشفى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مطعم. ما اسم المعلم النهائي؟,4
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مستشفى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مقهى. ما اسم المعلم النهائي؟,5
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مطعم، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب بنك. ما اسم المعلم النهائي؟,3
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مطعم، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب صيدلية. ما اسم المعلم النهائي؟,6
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مطعم، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب محطة وقود. ما اسم المعلم النهائي؟,6
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مطعم، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مستشفى. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مطعم، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مقهى. ما اسم المعلم النهائي؟,6
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مقهى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب بنك. ما اسم المعلم النهائي؟,4
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مقهى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب صيدلية. ما اسم المعلم النهائي؟,2
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مقهى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب عيادة. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مقهى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب محطة وقود. ما اسم المعلم النهائي؟,7
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مقهى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مدرسة. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مقهى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مستشفى. ما اسم المعلم النهائي؟,1
test,two_hop_nearest,انطلاقًا من <NAME>، حدد أولًا أقرب مقهى، ثم استخدم هذا الموقع كنقطة مرجعية جديدة لتحديد أقرب مطعم. ما اسم المعلم النهائي؟,4
