split,task_type,slot,value,count
train,count_within_radius,category,عيادة,25
train,count_within_radius,category,كلية,19
train,count_within_radius,category,محطة وقود,94
train,count_within_radius,category,مدرسة,104
train,count_within_radius,category,مستشفى,93
train,count_within_radius,category,مطعم,153
train,count_within_radius,category,مقهى,88
train,count_within_radius,radius_text,1.5,675
train,count_within_radius,radius_text,2,12
train,count_within_radius,radius_text,3,4
train,count_within_radius,radius_text,5,10
train,nearest_category,category,بنك,627
train,nearest_category,category,جامعة,464
train,nearest_category,category,صيدلية,639
train,nearest_category,category,عيادة,572
train,nearest_category,category,كلية,457
train,nearest_category,category,محطة وقود,1017
train,nearest_category,category,مدرسة,656
train,nearest_category,category,مستشفى,697
train,nearest_category,category,مطعم,731
train,nearest_category,category,مقهى,728
train,nearest_of_two_categories,category1,بنك,177
train,nearest_of_two_categories,category1,جامعة,96
train,nearest_of_two_categories,category1,صيدلية,154
train,nearest_of_two_categories,category1,عيادة,101
train,nearest_of_two_categories,category1,كلية,52
train,nearest_of_two_categories,category1,محطة وقود,248
train,nearest_of_two_categories,category1,مدرسة,169
train,nearest_of_two_categories,category1,مستشفى,184
train,nearest_of_two_categories,category1,مطعم,193
train,nearest_of_two_categories,category1,مقهى,217
train,nearest_of_two_categories,category2,بنك,171
train,nearest_of_two_categories,category2,جامعة,60
train,nearest_of_two_categories,category2,صيدلية,157
train,nearest_of_two_categories,category2,عيادة,115
train,nearest_of_two_categories,category2,كلية,62
train,nearest_of_two_categories,category2,محطة وقود,282
train,nearest_of_two_categories,category2,مدرسة,171
train,nearest_of_two_categories,category2,مستشفى,187
train,nearest_of_two_categories,category2,مطعم,197
train,nearest_of_two_categories,category2,مقهى,189
train,spatial_multi_constraint,category,بنك,145
train,spatial_multi_constraint,category,جامعة,24
train,spatial_multi_constraint,category,صيدلية,162
train,spatial_multi_constraint,category,عيادة,157
train,spatial_multi_constraint,category,كلية,35
train,spatial_multi_constraint,category,محطة وقود,222
train,spatial_multi_constraint,category,مدرسة,97
train,spatial_multi_constraint,category,مستشفى,192
train,spatial_multi_constraint,category,مطعم,270
train,spatial_multi_constraint,category,مقهى,174
train,spatial_multi_constraint,direction,جنوب,413
train,spatial_multi_constraint,direction,شرق,367
train,spatial_multi_constraint,direction,شمال,444
train,spatial_multi_constraint,direction,غرب,254
train,spatial_multi_constraint,radius_text,3,530
train,spatial_multi_constraint,radius_text,5,403
train,spatial_multi_constraint,radius_text,8,545
train,two_hop_nearest,category1,بنك,142
train,two_hop_nearest,category1,جامعة,57
train,two_hop_nearest,category1,صيدلية,177
train,two_hop_nearest,category1,عيادة,102
train,two_hop_nearest,category1,كلية,53
train,two_hop_nearest,category1,محطة وقود,308
train,two_hop_nearest,category1,مدرسة,203
train,two_hop_nearest,category1,مستشفى,191
train,two_hop_nearest,category1,مطعم,166
train,two_hop_nearest,category1,مقهى,204
train,two_hop_nearest,category2,بنك,152
train,two_hop_nearest,category2,جامعة,39
train,two_hop_nearest,category2,صيدلية,169
train,two_hop_nearest,category2,عيادة,101
train,two_hop_nearest,category2,كلية,93
train,two_hop_nearest,category2,محطة وقود,279
train,two_hop_nearest,category2,مدرسة,149
train,two_hop_nearest,category2,مستشفى,165
train,two_hop_nearest,category2,مطعم,247
train,two_hop_nearest,category2,مقهى,209
train,within_radius_yes_no,category,بنك,9
train,within_radius_yes_no,category,جامعة,67
train,within_radius_yes_no,category,صيدلية,98
train,within_radius_yes_no,category,عيادة,291
train,within_radius_yes_no,category,كلية,27
train,within_radius_yes_no,category,محطة وقود,284
train,within_radius_yes_no,category,مدرسة,52
train,within_radius_yes_no,category,مستشفى,1293
train,within_radius_yes_no,category,مطعم,54
train,within_radius_yes_no,category,مقهى,27
train,within_radius_yes_no,radius_text,1,754
train,within_radius_yes_no,radius_text,2,515
train,within_radius_yes_no,radius_text,3,369
train,within_radius_yes_no,radius_text,5,564
validation,count_within_radius,category,بنك,3
validation,count_within_radius,category,جامعة,7
validation,count_within_radius,category,صيدلية,4
validation,count_within_radius,category,عيادة,3
validation,count_within_radius,category,كلية,2
validation,count_within_radius,category,محطة وقود,13
validation,count_within_radius,category,مدرسة,13
validation,count_within_radius,category,مستشفى,14
validation,count_within_radius,category,مطعم,22
validation,count_within_radius,category,مقهى,16
validation,count_within_radius,radius_text,1.5,91
validation,count_within_radius,radius_text,2,3
validation,count_within_radius,radius_text,3,1
validation,count_within_radius,radius_text,5,2
validation,nearest_category,category,بنك,78
validation,nearest_category,category,جامعة,63
validation,nearest_category,category,صيدلية,76
validation,nearest_category,category,عيادة,72
validation,nearest_category,category,كلية,52
validation,nearest_category,category,محطة وقود,130
validation,nearest_category,category,مدرسة,80
validation,nearest_category,category,مستشفى,91
validation,nearest_category,category,مطعم,95
validation,nearest_category,category,مقهى,90
validation,nearest_of_two_categories,category1,بنك,30
validation,nearest_of_two_categories,category1,جامعة,15
validation,nearest_of_two_categories,category1,صيدلية,16
validation,nearest_of_two_categories,category1,عيادة,11
validation,nearest_of_two_categories,category1,كلية,10
validation,nearest_of_two_categories,category1,محطة وقود,33
validation,nearest_of_two_categories,category1,مدرسة,22
validation,nearest_of_two_categories,category1,مستشفى,26
validation,nearest_of_two_categories,category1,مطعم,28
validation,nearest_of_two_categories,category1,مقهى,14
validation,nearest_of_two_categories,category2,بنك,18
validation,nearest_of_two_categories,category2,جامعة,16
validation,nearest_of_two_categories,category2,صيدلية,19
validation,nearest_of_two_categories,category2,عيادة,18
validation,nearest_of_two_categories,category2,كلية,9
validation,nearest_of_two_categories,category2,محطة وقود,31
validation,nearest_of_two_categories,category2,مدرسة,23
validation,nearest_of_two_categories,category2,مستشفى,26
validation,nearest_of_two_categories,category2,مطعم,25
validation,nearest_of_two_categories,category2,مقهى,20
validation,spatial_multi_constraint,category,بنك,12
validation,spatial_multi_constraint,category,جامعة,3
validation,spatial_multi_constraint,category,صيدلية,17
validation,spatial_multi_constraint,category,عيادة,20
validation,spatial_multi_constraint,category,كلية,6
validation,spatial_multi_constraint,category,محطة وقود,32
validation,spatial_multi_constraint,category,مدرسة,10
validation,spatial_multi_constraint,category,مستشفى,26
validation,spatial_multi_constraint,category,مطعم,35
validation,spatial_multi_constraint,category,مقهى,30
validation,spatial_multi_constraint,direction,جنوب,35
validation,spatial_multi_constraint,direction,شرق,59
validation,spatial_multi_constraint,direction,شمال,58
validation,spatial_multi_constraint,direction,غرب,39
validation,spatial_multi_constraint,radius_text,3,59
validation,spatial_multi_constraint,radius_text,5,59
validation,spatial_multi_constraint,radius_text,8,73
validation,two_hop_nearest,category1,بنك,14
validation,two_hop_nearest,category1,جامعة,6
validation,two_hop_nearest,category1,صيدلية,20
validation,two_hop_nearest,category1,عيادة,19
validation,two_hop_nearest,category1,كلية,3
validation,two_hop_nearest,category1,محطة وقود,48
validation,two_hop_nearest,category1,مدرسة,18
validation,two_hop_nearest,category1,مستشفى,38
validation,two_hop_nearest,category1,مطعم,21
validation,two_hop_nearest,category1,مقهى,23
validation,two_hop_nearest,category2,بنك,24
validation,two_hop_nearest,category2,جامعة,14
validation,two_hop_nearest,category2,صيدلية,22
validation,two_hop_nearest,category2,عيادة,17
validation,two_hop_nearest,category2,كلية,11
validation,two_hop_nearest,category2,محطة وقود,28
validation,two_hop_nearest,category2,مدرسة,18
validation,two_hop_nearest,category2,مستشفى,18
validation,two_hop_nearest,category2,مطعم,26
validation,two_hop_nearest,category2,مقهى,32
validation,within_radius_yes_no,category,بنك,1
validation,within_radius_yes_no,category,جامعة,10
validation,within_radius_yes_no,category,صيدلية,7
validation,within_radius_yes_no,category,عيادة,34
validation,within_radius_yes_no,category,كلية,4
validation,within_radius_yes_no,category,محطة وقود,36
validation,within_radius_yes_no,category,مدرسة,7
validation,within_radius_yes_no,category,مستشفى,171
validation,within_radius_yes_no,category,مطعم,4
validation,within_radius_yes_no,category,مقهى,6
validation,within_radius_yes_no,radius_text,1,88
validation,within_radius_yes_no,radius_text,2,63
validation,within_radius_yes_no,radius_text,3,49
validation,within_radius_yes_no,radius_text,5,80
